timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622924673064,298,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-3,text,true,,1142,646,9,9,http://localhost:8090/WebTours/login.pl?intro=true,298,0,0
1622924673363,281,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-4,text,true,,1729,651,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,281,0,0
1622924673363,281,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-3,text,true,,1729,651,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,281,0,0
1622924672731,333,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-8,text,true,,816,740,9,9,http://localhost:8090/WebTours/login.pl,333,0,0
1622924673064,298,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-8,text,true,,1142,646,9,9,http://localhost:8090/WebTours/login.pl?intro=true,298,0,0
1622924672731,913,ClickLogin,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-5,,true,,3687,2037,9,9,null,0,0,0
1622924673363,281,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-8,text,true,,1729,651,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,281,0,0
1622924672731,333,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-5,text,true,,816,740,9,9,http://localhost:8090/WebTours/login.pl,333,0,0
1622924672731,912,ClickLogin,200,"Number of samples in transaction : 3, number of failing samples : 0",jp@gc - OrderTicket 1-2,,true,,3687,2037,9,9,null,0,1,0
1622924673064,299,ClickLogin-85,200,Ok,jp@gc - OrderTicket 1-5,text,true,,1142,646,9,9,http://localhost:8090/WebTours/login.pl?intro=true,299,0,0
1622924672731,333,ClickLogin-83,200,Ok,jp@gc - OrderTicket 1-2,text,true,,816,740,9,9,http://localhost:8090/WebTours/login.pl,333,0,0
1622924673363,281,ClickLogin-84,200,Ok,jp@gc - OrderTicket 1-5,text,true,,1729,651,9,9,http://localhost:8090/WebTours/nav.pl?page=menu&in=home,281,0,0
1622924671367,269,FindFlightContinue,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - OrderTicket 1-7,,true,,2622,1015,9,9,null,0,2008,0
